年来
年前
年后
年内
年之前
年之后
人
篇
帧
把
封
艘
套
段
匹
张
座
回
场
尾
条
个
首
阙
阵
网
炮
顶
丘
棵
只
支
袭
辆
挑
担
颗
壳
窠
曲
墙
群
腔
砣
座
客
贯
扎
捆
刀
令
手
罗
坡
山
岭
江
溪
钟
队
单
双
对
口
头
脚
板
跳
枝
件
贴
针
线
管
名
位
身
堂
课
本
页
家
户
层
丝
毫
厘
分
钱
斤
担
铢
石
钧
锱
忽
克
毫
厘
寸
尺
丈
里
寻
常
铺
程
米
撮
勺
合
升
斗
石
盘
碗
碟
叠
桶
笼
盆
盒
杯
钟
斛
锅
簋
篮
盘
桶
罐
瓶
壶
卮
盏
箩
箱
煲
啖
袋
钵
季
年
月
日
刻
时
周
天
秒
旬
纪
岁
世
更
夜
春
夏
秋
冬
代
伏
辈
丸
泡
粒
颗
幢
堆
条
根
支
道
面
片
张
颗
块
架
角
毛
字
元
两
两米饭
两酒
吨
顿
牛
次
号
澳元
阿联酋迪拉姆
阿富汗
阿尔巴尼亚列克
荷属安的列斯盾
阿根廷比索
澳元
阿鲁巴盾
阿塞拜疆马纳特
波斯尼亚和黑塞哥维那可兑换马克
巴巴多斯元
保加利亚列弗
百慕大元
文莱达鲁萨兰国元
玻利维亚玻利维亚诺
巴西雷亚尔
巴哈马元
博茨瓦纳普拉
白俄罗斯卢布
伯利兹元
加元
加元
瑞士法郎
智利比索
人民币
哥伦比亚比索
哥斯达黎加科隆
古巴比索
捷克克朗
丹麦克朗
多米尼加共和国比索
埃及镑
欧元成员国
斐济元
福克兰群岛（马尔维纳斯）镑
英镑
根西岛镑
加纳塞地
直布罗陀镑
危地马拉格查尔
圭亚那元
港元
港元
洪都拉斯伦皮拉
克罗地亚库纳
匈牙利福林
印尼盾
以色列谢克尔
马恩岛英镑
印度卢比
伊朗里亚尔
冰岛克朗
日元
泽西镑
牙买加元
日元
日元
吉尔吉斯斯坦索姆
柬埔寨瑞尔
朝鲜园
韩元
韩元
开曼群岛元
哈萨克斯坦腾格
老挝基普
黎巴嫩镑
斯里兰卡卢比
利比里亚元
马其顿代纳尔
摩洛哥迪拉姆
蒙古图格里克
毛里求斯卢比
墨西哥比索
马来西亚令吉
莫桑比克梅蒂卡尔
纳米比亚元
尼日利亚奈拉
尼加拉瓜科尔多瓦
挪威克朗
尼泊尔卢比
新西兰元
阿曼里亚尔
巴拿马巴尔博亚
秘鲁索尔
菲律宾比索
巴基斯坦卢比
波兰兹罗提
巴拉圭瓜拉尼
卡塔尔里亚尔
罗马尼亚列伊
塞尔维亚第纳尔
俄罗斯卢布
沙特阿拉伯里亚尔
所罗门群岛元
塞舌尔卢比
瑞典克朗
新加坡元
圣赫勒拿镑
索马里先令
苏里南元
萨尔瓦多科隆
叙利亚镑
泰铢
土耳其里拉
特立尼达和多巴哥元
图瓦卢元
新台币
乌克兰格里夫纳
美元
乌拉圭比索
乌兹别克斯坦索姆
委内瑞拉玻利瓦尔
越南东
东加勒比元
也门里亚尔
南非兰特
津巴布韦元
